"","STATE_NAME","RECFIN_YEAR","RECFIN_DATE","COUNTY_NUMBER","INTERVIEW_SITE","RECFIN_PORT_NAME","RECFIN_TRIP_TYPE_NAME","AGENCY_WATER_AREA_NAME","AGENCY_FISHED_AREA_NAME","RECFIN_MODE_NAME","FISHERY_MANAGEMENT_PLAN","STOCK_COMPLEX_NAME","SPECIES_GROUP_NAME","SPECIES_NAME","SCIENTIFIC_NAME","AGENCY_LENGTH","AGENCY_LENGTH_UNITS","IS_AGENCY_LENGTH_WITHIN_MAX","AGENCY_WEIGHT","AGENCY_WEIGHT_UNITS","RECFIN_LENGTH_MM","RECFIN_IMPUTED_LENGTH","RECFIN_LENGTH_TYPE","RECFIN_IMPUTED_WEIGHT_KG","IS_RETAINED","SOURCE_CODE"
"11","CALIFORNIA",2021,"08/16/2021",37,202,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",685,"",TRUE,NA,"",738,NA,NA,1.5788,"RETAINED","BIO"
"12","CALIFORNIA",2021,"08/31/2021",59,106,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",743,"",TRUE,1.3,"",800,NA,NA,1.9859,"RETAINED","BIO"
"13","CALIFORNIA",2021,"09/09/2021",59,106,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",655,"",TRUE,1.4,"",705,NA,NA,1.3914,"RETAINED","BIO"
"14","CALIFORNIA",2021,"09/11/2021",59,111,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","INLAND",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",490,"",TRUE,0.57,"",528,NA,NA,0.6133,"RETAINED","BIO"
"15","CALIFORNIA",2021,"09/19/2021",59,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",632,"",TRUE,1.2,"",681,NA,NA,1.2578,"RETAINED","BIO"
"16","CALIFORNIA",2021,"11/13/2021",111,104,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",610,"",TRUE,1,"",657,NA,NA,1.1381,"RETAINED","BIO"
"17","CALIFORNIA",2021,"08/28/2021",59,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",700,"",TRUE,1.3,"",754,NA,NA,1.6784,"RETAINED","BIO"
"18","CALIFORNIA",2021,"08/07/2021",37,105,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","OCEAN > 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",800,"",TRUE,2.2,"",862,NA,NA,2.4466,"RETAINED","BIO"
"19","CALIFORNIA",2021,"08/15/2021",59,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","OCEAN > 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",685,"",TRUE,1.5,"",738,NA,NA,1.5788,"RETAINED","BIO"
"27","CALIFORNIA",2021,"08/04/2021",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",692,"",TRUE,1.5,"",745,NA,NA,1.6248,"RETAINED","BIO"
"28","CALIFORNIA",2021,"09/01/2021",37,14,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",748,"",TRUE,1.4,"",806,NA,NA,2.0239,"RETAINED","BIO"
"29","CALIFORNIA",2021,"08/08/2021",59,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",550,"",TRUE,0.9,"",592,NA,NA,0.8497,"RETAINED","BIO"
"30","CALIFORNIA",2021,"08/24/2021",37,14,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","HIGHLY MIGRATORY","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",713,"",TRUE,1.2,"",768,NA,NA,1.7678,"RETAINED","BIO"
"31","CALIFORNIA",2021,"08/16/2021",37,202,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",710,"",TRUE,NA,"",765,NA,NA,1.7469,"RETAINED","BIO"
"32","CALIFORNIA",2021,"08/01/2021",111,104,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",735,"",TRUE,1.7,"",792,NA,NA,1.9261,"RETAINED","BIO"
"33","CALIFORNIA",2021,"08/04/2021",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",646,"",TRUE,1.5,"",696,NA,NA,1.3381,"RETAINED","BIO"
"34","CALIFORNIA",2021,"08/12/2021",111,103,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","INSHORE","INLAND",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",548,"",TRUE,0.6,"",590,NA,NA,0.841,"RETAINED","BIO"
"35","CALIFORNIA",2021,"08/16/2021",37,202,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",765,"",TRUE,NA,"",824,NA,NA,2.1564,"RETAINED","BIO"
"36","CALIFORNIA",2021,"08/01/2021",111,104,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",694,"",TRUE,1.5,"",747,NA,NA,1.6381,"RETAINED","BIO"
"37","CALIFORNIA",2021,"08/04/2021",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",743,"",TRUE,1.9,"",800,NA,NA,1.9859,"RETAINED","BIO"
"40","CALIFORNIA",2021,"08/04/2021",37,303,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",742,"",TRUE,1.6,"",799,NA,NA,1.9784,"RETAINED","BIO"
"41","CALIFORNIA",2021,"08/19/2021",37,15,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",724,"",TRUE,1.4,"",780,NA,NA,1.8459,"RETAINED","BIO"
"42","CALIFORNIA",2021,"10/02/2021",37,110,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","OCEAN <= 3 MILES",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",680,"",TRUE,1.3,"",732,NA,NA,1.5465,"RETAINED","BIO"
"44","CALIFORNIA",2021,"08/04/2021",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES",NA,"PARTY/CHARTER BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",712,"",TRUE,1.8,"",767,NA,NA,1.7608,"RETAINED","BIO"
"79","CALIFORNIA",2004,"04/10/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",792,"",TRUE,2.2,"",853,NA,NA,2.3782,"RETAINED","BIO"
"80","CALIFORNIA",2004,"04/10/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",660,"",TRUE,1.4,"",711,NA,NA,1.4215,"RETAINED","BIO"
"81","CALIFORNIA",2004,"08/01/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",731,"",TRUE,1.8,"",787,NA,NA,1.8967,"RETAINED","BIO"
"82","CALIFORNIA",2004,"08/01/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",907,"",TRUE,NA,"",977,NA,NA,3.4869,"RETAINED","BIO"
"83","CALIFORNIA",2004,"08/21/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",763,"",TRUE,NA,"",822,NA,NA,2.1405,"RETAINED","BIO"
"84","CALIFORNIA",2004,"09/04/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",634,"",TRUE,NA,"",683,NA,NA,1.2691,"RETAINED","BIO"
"85","CALIFORNIA",2004,"09/04/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",674,"",TRUE,NA,"",726,NA,NA,1.5083,"RETAINED","BIO"
"86","CALIFORNIA",2004,"08/10/2004",37,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",444,"",TRUE,NA,"",478,NA,NA,0.4643,"RETAINED","BIO"
"87","CALIFORNIA",2004,"08/27/2004",37,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",785,"",TRUE,NA,"",845,NA,NA,2.3193,"RETAINED","BIO"
"88","CALIFORNIA",2004,"08/05/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",828,"",TRUE,NA,"",892,NA,NA,2.6961,"RETAINED","BIO"
"89","CALIFORNIA",2004,"08/11/2004",59,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",545,"",TRUE,NA,"",587,NA,NA,0.8281,"RETAINED","BIO"
"90","CALIFORNIA",2004,"08/11/2004",59,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",743,"",TRUE,2,"",800,NA,NA,1.9859,"RETAINED","BIO"
"91","CALIFORNIA",2004,"08/11/2004",59,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",793,"",TRUE,2.3,"",854,NA,NA,2.3867,"RETAINED","BIO"
"92","CALIFORNIA",2004,"08/14/2004",37,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",735,"",TRUE,NA,"",792,NA,NA,1.9261,"RETAINED","BIO"
"93","CALIFORNIA",2004,"08/14/2004",37,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",810,"",TRUE,NA,"",872,NA,NA,2.5339,"RETAINED","BIO"
"94","CALIFORNIA",2004,"07/31/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",739,"",TRUE,NA,"",796,NA,NA,1.9559,"RETAINED","BIO"
"95","CALIFORNIA",2004,"09/05/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",772,"",TRUE,NA,"",831,NA,NA,2.2125,"RETAINED","BIO"
"96","CALIFORNIA",2004,"09/05/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",769,"",TRUE,NA,"",828,NA,NA,2.1884,"RETAINED","BIO"
"97","CALIFORNIA",2004,"09/12/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",748,"",TRUE,NA,"",806,NA,NA,2.0239,"RETAINED","BIO"
"98","CALIFORNIA",2004,"06/24/2004",37,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",762,"",TRUE,NA,"",821,NA,NA,2.1326,"RETAINED","BIO"
"99","CALIFORNIA",2004,"07/01/2004",37,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",720,"",TRUE,2.5,"",775,NA,NA,1.8172,"RETAINED","BIO"
"100","CALIFORNIA",2004,"07/14/2004",37,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",831,"",TRUE,2.3,"",895,NA,NA,2.7237,"RETAINED","BIO"
"101","CALIFORNIA",2004,"06/20/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",740,"",TRUE,NA,"",797,NA,NA,1.9634,"RETAINED","BIO"
"102","CALIFORNIA",2004,"07/09/2004",73,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",524,"",TRUE,0.74,"",564,NA,NA,0.7412,"RETAINED","BIO"
"103","CALIFORNIA",2004,"04/08/2004",111,NA,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",802,"",TRUE,2.7,"",864,NA,NA,2.4639,"RETAINED","BIO"
"104","CALIFORNIA",2004,"06/17/2004",59,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",549,"",TRUE,NA,"",591,NA,NA,0.8454,"RETAINED","BIO"
"105","CALIFORNIA",2004,"08/01/2004",59,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",743,"",TRUE,NA,"",800,NA,NA,1.9859,"RETAINED","BIO"
"106","CALIFORNIA",2004,"08/01/2004",59,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",743,"",TRUE,NA,"",800,NA,NA,1.9859,"RETAINED","BIO"
"107","CALIFORNIA",2004,"08/01/2004",59,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",802,"",TRUE,NA,"",864,NA,NA,2.4639,"RETAINED","BIO"
"108","CALIFORNIA",2004,"08/01/2004",59,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",834,"",TRUE,NA,"",898,NA,NA,2.7516,"RETAINED","BIO"
"109","CALIFORNIA",2004,"08/07/2004",37,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",796,"",TRUE,NA,"",857,NA,NA,2.4122,"RETAINED","BIO"
"110","CALIFORNIA",2004,"07/10/2004",37,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",793,"",TRUE,NA,"",854,NA,NA,2.3867,"RETAINED","BIO"
"111","CALIFORNIA",2004,"08/07/2004",37,NA,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN",NA,"PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","BARRACUDA","PACIFIC BARRACUDA","SPHYRAENA ARGENTEA",721,"",TRUE,NA,"",777,NA,NA,1.8244,"RETAINED","BIO"
